epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8893110156059265,0.9457681775093079,0.0010000000474974513,0.31337425112724304,0.8596782088279724,0.930504560470581,0.9148112535476685,0.9759333729743958,0.259681761264801,0.8732578158378601,0.970474362373352
1,0.9370784759521484,0.9711998105049133,0.0010000000474974513,0.21147780120372772,0.9166598916053772,0.9615811705589294,0.9269118905067444,0.9494585990905762,0.26769721508026123,0.9009090662002563,0.9593417048454285
2,0.9382737278938293,0.9707674384117126,0.0010000000474974513,0.20799846947193146,0.9191638827323914,0.961068868637085,0.9140852093696594,0.972459077835083,0.2617464065551758,0.8635784387588501,0.9835430979728699
3,0.9407495856285095,0.9722633361816406,0.0010000000474974513,0.1991153210401535,0.922636091709137,0.9621787667274475,0.9119070768356323,0.9331361651420593,0.28938940167427063,0.8687174916267395,0.970474362373352
4,0.9460855722427368,0.9770694375038147,0.0005000000237487257,0.17923246324062347,0.9296168684959412,0.9652522802352905,0.9177153706550598,0.9830500483512878,0.26041823625564575,0.8691189289093018,0.9835430979728699
5,0.9487321972846985,0.9786877036094666,0.0005000000237487257,0.17071892321109772,0.933020293712616,0.9668744206428528,0.9244917631149292,0.9775753617286682,0.2327706217765808,0.8806423544883728,0.9820910096168518
6,0.9491163492202759,0.9806932210922241,0.0005000000237487257,0.16613250970840454,0.9333552718162537,0.9673013091087341,0.9283639788627625,0.9729061722755432,0.22974225878715515,0.8898678421974182,0.9777347445487976
7,0.9485187530517578,0.9798064231872559,0.0005000000237487257,0.16760483384132385,0.9326360821723938,0.9668744206428528,0.920619547367096,0.9674656987190247,0.23130817711353302,0.8752158880233765,0.9811229705810547
8,0.9487748742103577,0.979988694190979,0.0005000000237487257,0.16565172374248505,0.9334542751312256,0.9664475321769714,0.9165053367614746,0.9810073375701904,0.2604798972606659,0.8644642233848572,0.9878993034362793
9,0.9503116011619568,0.9812708497047424,0.0005000000237487257,0.16109544038772583,0.9364501237869263,0.9661914110183716,0.9351403713226318,0.9801605939865112,0.209070086479187,0.8995555639266968,0.9796708822250366
10,0.95163494348526,0.9808289408683777,0.0005000000237487257,0.1588931679725647,0.9381315112113953,0.9670451879501343,0.9254598021507263,0.9809006452560425,0.20828759670257568,0.8811795115470886,0.9835430979728699
11,0.9520618319511414,0.9825255274772644,0.0005000000237487257,0.155523881316185,0.9394920468330383,0.9663621783256531,0.923281729221344,0.9730390310287476,0.2522125840187073,0.8797221183776855,0.9806389212608337
